property_type,society,sector,price,price_per_sqrft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,price_per_sqft,coordinates,latitude,longitude
flat,godrej oasis,sector 88,1.0,6896.0,2,2,3,7.0,Relatively New,1611.0,1,0,0,0,0,1,72,6897.0,"28.4220° N, 76.9571° E",28.422,76.9571
flat,m3m the marina,sector 68,1.02,8095.0,2,2,2,11.0,Relatively New,1250.0,0,0,0,0,1,2,49,8095.0,"28.3853° N, 77.0484° E",28.3853,77.0484
house,independent,sector 7,6.5,15046.0,3,2,3,3.0,Old Property,4320.0,0,0,0,0,0,1,9,15046.0,"28.4644° N, 77.0143° E",28.4644,77.0143
flat,radhakrishna society,sector 23,0.55,5000.0,2,2,1,1.0,Moderately Old,995.0,0,0,0,0,0,2,29,5000.0,"28.5121° N, 77.0478° E",28.5121,77.0478
flat,dlf the skycourt,sector 86,1.58,8190.0,3,3,1,16.0,Relatively New,1750.0,0,0,0,1,0,2,152,8191.0,"28.3986° N, 76.9384° E",28.3986,76.9384
flat,raheja vedaanta,sector 108,0.8,4080.0,3,3,3,9.0,Relatively New,1663.0,0,0,0,1,0,1,174,4080.0,"28.5134° N, 76.9830° E",28.5134,76.983
house,dlf city plots phase,sector 28,9.54,29444.0,6,5,3,3.0,New Property,3240.0,1,1,1,1,0,1,153,29444.0,"28.4728° N, 77.0865° E",28.4728,77.0865
flat,umang monsoon breeze,sector 78,0.95,5491.0,3,3,2,9.0,Relatively New,1730.0,0,0,0,0,0,2,65,5491.0,"28.3733° N, 76.9729° E",28.3733,76.9729
flat,assotech blith,sector 99,1.15,6593.0,2,2,2,2.0,New Property,1235.0,0,0,0,0,1,2,72,6594.0,"28.4640° N, 76.9614° E",28.464,76.9614
flat,m3m skywalk,sector 74,2.45,12140.0,3,3,3,25.0,Relatively New,1800.0,1,0,0,0,0,1,137,12141.0,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,ramshanti cooperative society,sector 52,1.76,7242.0,4,4,3,12.0,New Property,2199.0,0,0,0,0,0,1,0,7243.0,"28.4379° N, 77.0785° E",28.4379,77.0785
flat,indiabulls enigma,sector 110,3.6,10588.0,4,5,3,7.0,Relatively New,3077.0,0,1,0,0,0,1,165,10588.0,"28.5145° N, 77.0197° E",28.5145,77.0197
flat,bptp terra,sector 37,1.79,8983.0,4,3,3,15.0,Relatively New,1808.0,0,0,0,0,1,2,37,8981.0,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,smart world gems,sector 89,1.01,9156.0,2,2,2,4.0,New Property,1226.0,1,0,0,0,0,1,38,9157.0,"28.4253° N, 76.9439° E",28.4253,76.9439
flat,emaar mgf the palm drive,sector 66,2.8,16470.0,3,4,3,8.0,Relatively New,1700.0,0,1,0,0,0,2,117,16471.0,"28.3925° N, 77.0541° E",28.3925,77.0541
flat,orris aster court,sector 85,0.93,5671.0,3,3,3,8.0,Relatively New,1587.0,0,0,0,0,0,1,0,5671.0,"28.4042° N, 76.9513° E",28.4042,76.9513
flat,breez global hill view,sector 48,0.42,7174.0,2,2,1,18.0,Relatively New,650.0,0,0,0,0,0,1,44,7179.0,"28.4177° N, 77.0359° E",28.4177,77.0359
flat,supertech araville,sector 79,0.95,6209.0,2,2,3,7.0,New Property,1385.0,1,0,0,0,0,1,49,6209.0,"28.3624° N, 76.9787° E",28.3624,76.9787
house,dlf alameda,sector 73,17.0,35109.0,5,8,3,3.0,Relatively New,9000.0,1,1,1,1,0,0,87,35109.0,"28.4072° N, 77.0118° E",28.4072,77.0118
flat,unitech sunbreeze,sector 69,0.75,6849.0,2,2,2,4.0,Under Construction,991.0,0,0,0,0,0,1,0,6849.0,"28.3966° N, 77.0341° E",28.3966,77.0341
flat,ild greens,sector 37,1.0,4320.0,3,3,3,5.0,Under Construction,1697.0,0,0,0,0,0,1,51,4320.0,"28.4375° N, 76.9999° E",28.4375,76.9999
flat,la vida by tata housing,sector 113,2.48,14090.0,3,3,3,8.0,New Property,1980.0,0,1,0,0,0,1,79,14091.0,"28.5287° N, 77.0233° E",28.5287,77.0233
flat,ambience creacions,sector 22,1.99,15546.0,2,2,2,9.0,New Property,1285.0,0,0,0,0,0,1,49,15547.0,"28.5072° N, 77.0640° E",28.5072,77.064
flat,irwo westend towers,sector 47,0.65,12059.0,1,1,2,3.0,Old Property,599.0,0,0,0,0,0,1,56,12059.0,"28.4276° N, 77.0492° E",28.4276,77.0492
flat,shree vardhman victoria,sector 70,1.25,9259.0,2,2,3,3.0,Relatively New,1222.0,1,0,0,0,0,1,43,9259.0,"28.3968° N, 77.0233° E",28.3968,77.0233
flat,supertech araville,sector 79,0.78,6023.0,2,2,3,17.0,Relatively New,1172.0,0,0,0,0,0,1,24,6023.0,"28.3624° N, 76.9787° E",28.3624,76.9787
flat,dlf new town heights,sector 90,1.6,6768.0,4,4,3,10.0,Relatively New,2139.0,0,1,0,1,0,1,88,6768.0,"28.4085° N, 76.9369° E",28.4085,76.9369
flat,hero homes,sector 104,1.2,17548.0,2,2,2,22.0,Relatively New,877.0,0,0,0,0,0,1,30,17544.0,"28.4788° N, 76.9960° E",28.4788,76.996
flat,conscient heritage max,sector 102,1.78,9218.0,3,4,3,5.0,Moderately Old,1748.0,0,1,0,0,0,1,125,9218.0,"28.4750° N, 76.9715° E",28.475,76.9715
flat,m3m skywalk,sector 74,1.78,12500.0,2,2,3,12.0,Relatively New,1582.0,0,0,0,0,0,1,63,12500.0,"28.4158° N, 77.0118° E",28.4158,77.0118
flat,m3m skywalk,sector 74,1.52,13342.0,2,2,3,6.0,Relatively New,1250.0,0,0,1,0,0,1,174,13345.0,"28.4158° N, 77.0118° E",28.4158,77.0118
